slug,title,videoUrl
lesson-01,Budget Cuts,https://learningenglish.voanews.com/embed/player/0/5782515.html?type=video
lesson-02,The Interview,https://learningenglish.voanews.com/embed/player/0/5782508.html?type=video
lesson-03,He Said - She Said,https://learningenglish.voanews.com/embed/player/0/5782504.html?type=video
lesson-04,Run Away With the Circus!,https://learningenglish.voanews.com/embed/player/0/5782503.html?type=video
lesson-05,Greatest Vacation of All Time,https://learningenglish.voanews.com/embed/player/0/5782498.html?type=video
lesson-06,Will It Float?,https://learningenglish.voanews.com/embed/player/0/5782482.html?type=video
lesson-07,Tip Your Tour Guide,https://learningenglish.voanews.com/embed/player/0/5782475.html?type=video
lesson-08,The Best Barbecue,https://learningenglish.voanews.com/embed/player/0/5782474.html?type=video
lesson-09,"Pets Are Family, Too!",https://learningenglish.voanews.com/embed/player/0/5782442.html?type=video
lesson-10,Visit to Peru,https://learningenglish.voanews.com/embed/player/0/5782445.html?type=video
lesson-11,The Big Snow,https://learningenglish.voanews.com/embed/player/0/5782438.html?type=video
lesson-12,Run! Bees!,https://learningenglish.voanews.com/embed/player/0/5782435.html?type=video
lesson-13,Save the Bees!,https://learningenglish.voanews.com/embed/player/0/5782434.html?type=video
lesson-14,Made for Each Other,https://learningenglish.voanews.com/embed/player/0/5782431.html?type=video
lesson-15,Before and After,https://learningenglish.voanews.com/embed/player/0/5782430.html?type=video
lesson-16,Find Your Joy!,https://learningenglish.voanews.com/embed/player/0/5782428.html?type=video
lesson-17,"Flour Baby, Part 1",https://learningenglish.voanews.com/embed/player/0/5782178.html?type=video
lesson-18,"Flour Baby, Part 2",https://learningenglish.voanews.com/embed/player/0/5782155.html?type=video
lesson-19,Movie Night,https://learningenglish.voanews.com/embed/player/0/5781878.html?type=video
lesson-20,The Test Drive,https://learningenglish.voanews.com/embed/player/0/5781865.html?type=video
lesson-21,"Trash to Treasure, Part 1",https://learningenglish.voanews.com/embed/player/0/5781862.html?type=video
lesson-22,"Trash to Treasure, Part 2",https://learningenglish.voanews.com/embed/player/0/5781858.html?type=video
lesson-23,Rock Star,https://learningenglish.voanews.com/embed/player/0/5781826.html?type=video
lesson-24,I Feel Super!,https://learningenglish.voanews.com/embed/player/0/5781726.html?type=video
lesson-25,Only Human,https://learningenglish.voanews.com/embed/player/0/5781719.html?type=video
lesson-26,Look-alikes,https://learningenglish.voanews.com/embed/player/0/5781717.html?type=video
lesson-27,Fish out of Water,https://learningenglish.voanews.com/embed/player/0/5781713.html?type=video
lesson-28,For the Birds,https://learningenglish.voanews.com/embed/player/0/5781710.html?type=video
lesson-29,Where There's Smoke...,https://learningenglish.voanews.com/embed/player/0/4430778.html?type=video
lesson-30,Dream a Little Dream,https://learningenglish.voanews.com/embed/player/0/5781699.html?type=video
